CATEGORY;VERYEASY;EASY;NORMAL;HARD;VERYHARD;BLANK;X
HUMAN;;;;;;;X
INDUSTRY;20;20;20;20;20;;X
RESOURCES;10;10;10;10;10;;X
MANPOWER;10;10;10;10;10;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;5;5;5;5;5;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;-5;-5;-5;-5;-5;0;X
#;;;;;;;X
AI;;;;;;;X
INDUSTRY;0;0;0;0;0;;X
RESOURCES;0;0;0;0;0;;X
MANPOWER;0;0;0;0;0;;X
RESEARCH;0;0;0;0;0;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;0;0;0;0;0;0;X
;;;;;;;
#World in Flames difficulty modifiers currently disabled;;;;;;;
#AI;;;;;;;X
#INDUSTRY;-20;0;5;20;40;;X
#RESOURCES;-20;0;5;20;40;;X
#MANPOWER;-15;0;5;20;30;;X
#RESEARCH;-10;0;10;15;20;;X
#ORGANISATION;-15;0;10;20;30;;X
#COMBAT;-5;0;5;10;10;;X
#MOVE_SPEED;-5;0;5;10;10;;X
#DISSENT;-20;0;20;30;40;;X
#DIPLOMACY;-25;0;20;35;50;;X
#INTELLIGENCE;-5;0;5;10;10;;X
#STOCKPILES;0;0;0;0;0;0;X
#;;;;;;;X
;;;;;;;
AXIS;;;;;;;X
INDUSTRY;-20;-25;-30;-30;-30;;X
RESOURCES;20;10;-3;-5;-10;;X
MANPOWER;20;10;0;0;0;;X
RESEARCH;21;21;18;15;10;;X
ORGANISATION;10;10;5;3;-5;;X
COMBAT;10;5;5;5;0;;X
MOVE_SPEED;10;10;10;5;0;;X
DISSENT;-40;-20;5;10;15;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;20;5;0;0;-5;-10;X
#;;;;;;;X
ALLIES;;;;;;;X
INDUSTRY;-25;-22;-15;-12;-5;;X
RESOURCES;-15;-15;-15;-10;0;;X
MANPOWER;-20;-15;0;0;5;;X
RESEARCH;15;15;15;18;18;;X
ORGANISATION;1;3;3;3;4;;X
COMBAT;0;3;4;5;7;;X
MOVE_SPEED;0;0;0;0;5;;X
DISSENT;20;20;20;0;-20;;X
DIPLOMACY;10;10;10;10;10;;X
INTELLIGENCE;5;7;10;10;10;;X
STOCKPILES;15;15;15;15;15;0;X
#;;;;;;;X
COMINTERN;;;;;;;X
INDUSTRY;-22;-25;-25;-25;-22;;X
RESOURCES;-3;-5;-7;-5;-3;;X
MANPOWER;-5;-5;0;0;0;;X
RESEARCH;8;5;3;5;8;;X
ORGANISATION;3;-1;-2;-1;3;;X
COMBAT;0;0;0;0;0;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;10;10;10;10;10;;X
DIPLOMACY;5;5;5;5;5;;X
INTELLIGENCE;15;15;15;15;15;;X
STOCKPILES;5;0;0;0;0;0;X
#;;;;;;;X
NEUTRAL;;;;;;;X
INDUSTRY;-25;-25;-25;-25;-25;;X
RESOURCES;25;0;-8;-15;-20;;X
MANPOWER;-5;-5;-5;-5;-5;;X
RESEARCH;5;5;5;5;5;;X
ORGANISATION;0;0;0;0;0;;X
COMBAT;5;5;5;5;5;;X
MOVE_SPEED;0;0;0;0;0;;X
DISSENT;0;0;0;0;0;;X
DIPLOMACY;0;0;0;0;0;;X
INTELLIGENCE;0;0;0;0;0;;X
STOCKPILES;20;20;20;20;20;0;X
EOF;;;;;;;X
